candidate_or_group,dates_seen,files_seen,issue_type,qc_status,notes
Thomas the Apostle,07-03; 12-21,july; december,apostle-date harmonization,Open,July 3 is supported by some provincial sources but BCP/LFF use December 21; December likely controls unless whole-year apostolic cycle governs otherwise.
John Hus,07-06; 10-30,july; october,duplicate/date harmonization,Open,July has Hus as priest/prophetic witness/martyr candidate; October has Hus in FAS-linked date variant. Apply Protestant-reformer gate before final placement.
Declan of Ardmore,07-23; 07-24,july,duplicate/date harmonization,Open,Both July rows now carry harmonization flags.
Margaret / Marina of Antioch,07-20; 11-24,july; november,duplicate/group-form harmonization,Open,July has individual Margaret/Marina martyr tradition; November has Catherine-Barbara-Margaret LFF group. Legendary-material handling required either way.
Sojourner Truth / July social-reformer forms,07-20; 11-26,july; november,source-form/date harmonization,Open,July includes current LFF group and older four-person form; November has separate Sojourner Truth row. Preserve separate holiness case rather than flattening into social-reformer grouping.
Moses the Black,07-02; 08-28,july; august,duplicate/date harmonization,Open,LFF current date is July 2; August 28 appears in older TEC/Great Church witness.
Blane,08-10; 08-12,august,duplicate/date harmonization,Open,Both August rows now carry harmonization flags.
Herman of Alaska,08-09; 11-15,august; november,duplicate/date harmonization,Open,August is HWHM/GCW/AM; November is current LFF. Likely prefer current LFF unless full-year review decides otherwise.
Martin de Porres,08-23; 11-03,august; november,group/individual date harmonization,Open,August has South America witness group with Martin de Porres; November has individual Martin de Porres as Great Church alternate.
Clare of Montefalco,08-17; 10-30,august; october,duplicate/date harmonization,Open,August row is AM; October row is Oxford/AM date variant. Resolve after full-year review.
John Bunyan,08-29; 08-30,august,duplicate/date harmonization,Open,August row flags are now reciprocal.
Grundtvig,09-02; 09-08,september,duplicate/date harmonization,Open,September row flags are now reciprocal.
Søren Kierkegaard,09-08; 11-11,september; november,duplicate/date harmonization,Open,September HWHM/GCW row and November AM row both need Protestant/non-Anglican and intellectual-significance caution.
Cyprian of Carthage,09-13; 09-15,september,duplicate/date harmonization,Open,September 13 has BCP/LFF/FAS authority; September 15 is HWHM/GCW/SEC transfer artifact.
John Chrysostom,09-13; 01-27,september; january,duplicate/date harmonization,Open,January has current BCP/LFF authority and likely controls over the September HWHM/GCW date variant.
Albert of Jerusalem,09-14; 09-17,september,duplicate/date harmonization,Open,September row flags are now reciprocal.
Edward Bouverie Pusey,09-16; 09-18,september,duplicate/date harmonization,Open,BCP/LFF September 18 likely controls; AM has September 16 variant.
Richard Rolle / English Mystics,09-28; 09-29; 11-09; 01-20,september; november; january,source-form/date harmonization,Open,Current LFF November 9 places Rolle-Hilton-Kempe group; September and January rows preserve older or individual AM variants.
Gregory the Enlightener,09-30; 10-01; 03-23 expected,september; october; future March,duplicate/date harmonization,Open,October SEC evidence revised to require fixed-date verification. Armenian source verification required.
Remigius of Rheims,10-01; 10-02; 01-13,october; january,source-form/date harmonization,Open,BCP/HWHM/GCW retain October 1; LFF 2024 uses October 2; January has an AM date variant. Keep source forms visible.
Thomas Cantilupe,10-02; 10-03,october,duplicate/date harmonization,Open,October rows already carry harmonization flags.
Thomas Traherne,09-27; 10-10,september; october,duplicate/date harmonization,Open,September HWHM/GCW row and October AM row require whole-year placement.
Kenneth / Canice,10-11; 10-13,october,SEC transfer/date harmonization,Open,October 13 is SEC 2026 transfer from October 11; do not treat transfer as fixed date.
Thecla,09-23; 10-15,september; october,duplicate/date harmonization,Open,LFF September 23 likely controls; October is a Great Church/Oxford reference variant.
George Whitefield,10-30; 11-15,october; november,group/individual date harmonization,Open,October has individual Whitefield; November has Asbury-Whitefield group. Apply Protestant/evangelical and hagiographic-honesty review.
Mechthilde of Hackeborn and Gertrude the Great,11-16; 11-21,november,duplicate/date harmonization,Open,November 21 is current LFF; November 16 is AM date variant.
Hilda of Whitby,11-17; 11-18; 11-19 SEC,november,duplicate/date harmonization,Open,BCP/LFF November 18 likely controls; AM and SEC date variants remain noted.
Elizabeth of Hungary,11-17; 11-19,november,duplicate/date harmonization,Open,BCP/LFF November 19 likely controls; AM date variant remains noted.
Charles Simeon,11-12; 11-13,november,duplicate/date harmonization,Open,BCP/LFF November 12 likely controls; AM date variant remains noted.
Columbanus,11-21; 11-23,november,duplicate/date harmonization,Open,SEC/AM date variants require full-year resolution.
Cecilia of Rome,11-22; 11-25 SEC transfer; 01-21,november; january,source-form/date harmonization,Open,November has Cecilia individual/SEC-transfer rows; January has current LFF paired Agnes-and-Cecilia source form. Keep individual and group source forms distinct.
Catherine of Alexandria,11-24; 11-25,november,duplicate/date harmonization,Open,Current LFF groups Catherine with Barbara and Margaret on November 24; AM/Oxford preserve November 25 individual tradition.
Isaac Watts,11-25; 11-26,november,duplicate/date harmonization,Open,HWHM/GCW November 26 and AM November 25 variants require resolution.
James Theodore Holly,11-08; 03-13 expected,november; future March,date harmonization,Open,November 8 is alternative date; TEC primary date is March 13 in current project notes.
Nicholas Ferrar,12-01; 12-08,december,source-form/date harmonization,Open,BCP retains December 1 while LFF 2024 uses December 8; December file now ranks LFF Dec 8 form as controlling for current TEC source discipline.
Birinus of Dorchester,09-04; 12-03,september; december,duplicate/date harmonization,Open,September AM and December FAS/AM variants require whole-year placement.
Osmund of Salisbury,07-16; 12-04,july; december,duplicate/date harmonization,Open,July AM row and December AM/Oxford row both remain open pending English/Sarum source review.
Barbara of Nicomedia,11-24; 12-04,november; december,group/individual date harmonization,Open,Current LFF groups Barbara with Catherine and Margaret on November 24; December 4 is traditional individual date.
Charles Garnier,10-19; 12-07,october; december,group/individual date harmonization,Open,October New France martyr group and December individual AM variant require mission/colonial context review.
Jane de Chantal,08-18; 12-12,august; december,duplicate/date harmonization,Open,August has individual Jane Frances de Chantal; December has current LFF pairing with Francis de Sales.
John of the Cross,10-15; 12-14,october; december,duplicate/date harmonization,Open,FAS pairs John with Teresa on October 15; BCP/LFF December 14 likely controls for this project.
Samuel Johnson,08-17; 12-13,august; december,group/individual date harmonization,Open,August Johnson-Cutler-Chandler group and December individual AM variant require source-form review.
Frances Joseph-Gaudet,12-22 unverified; 12-30; 12-31,december,source-form/date harmonization,Open,Current LFF 2024 uses December 31 while BCP has bracketed December 30; December 22 row retained only as unverified source flag.
Thomas Becket,12-23; 12-29,december,duplicate/date harmonization,Open,BCP/LFF December 29 likely controls; December 23 is FAS/AM date variant.
Stephen,08-03; 12-26,august; december,duplicate/date harmonization,Open,FAS gives August 3 option while BCP/LFF December 26 controls as major feast.
Samuel Ajayi Crowther,12-31; future possible date,december; future,source/date verification,Open,December row corrected to TEC secondary/provincial witness rather than BCP/LFF authority; verify final date against remaining months.
Basil the Great and Gregory of Nazianzus,01-02; future fixed dates,january; future,source-form/date harmonization,Open,January FAS/AM/Oxford paired Cappadocian source form is strong but may conflict with later fixed dates for Basil and Gregory.
Macarius of Egypt / Macarius the Great,01-02; 01-19,january,duplicate/date harmonization,Open,January has Macarius of Egypt on Jan 2 and Macarius the Great on Jan 19; likely same identity and should receive one SIN if retained.
David I of Scotland,01-11 fixed; 01-12 SEC transfer,january,SEC transfer/date harmonization,Open,January matrix records fixed-date candidate under Jan 11 with SEC 2026 transfer to Jan 12; do not treat transfer as fixed date.
Hilary of Poitiers,01-13; 01-14 SEC,january,provincial date variant,Open,BCP/LFF and most January sources use Jan 13; SEC 2026 lists Jan 14 as a date variant rather than a visibly marked transfer.
Richard Meux Benson and Charles Gore,01-14; 01-16,january,source-form/date harmonization,Open,Current LFF source form places paired Benson-Gore on Jan 14; HWHM/GCW preserve older Jan 16 date variant.
Martin Luther King Jr.,01-15; 04-04 expected,january; future April,date harmonization / caution case,Open,January HWHM/GCW alternative date must not override the project caution rule or the expected April 4 primary source date.
The Confession of Saint Peter the Apostle,01-18; 01-20 SEC transfer,january,SEC transfer/date harmonization,Open,Fixed BCP/LFF date is Jan 18; SEC 2026 transfers to Jan 20 because Jan 18 is Sunday.
Timothy and Titus / Timothy Titus and Silas,01-26; 01-29 SEC transfer; Silas 07-13/07-30,january; july,source-form/date harmonization,Open,Current BCP/LFF form is Timothy and Titus on Jan 26; older TEC secondary form adds Silas; SEC 2026 transfer should not be treated as fixed date.
Lydia Dorcas and Phoebe,01-27; 08-03; 09-03; 10-25,january; august; september; october,group/individual source-form harmonization,Open,January HWHM/GCW group overlaps Lydia of Thyatira, Phoebe, and Tabitha/Dorcas source forms in other months.
Francis de Sales,01-24; 12-12,january; december,duplicate/date harmonization,Open,January has provincial/date-variant Francis de Sales; December has current LFF paired form with Jane de Chantal.
Agnes Tsao Kou Ying,01-28; 02-19,january; february,date harmonization,Open,January AM date variant should be reconciled with current LFF Chinese martyrs group in February.
John Horden,01-12; 12-15,january; december,duplicate/date harmonization,Open,January FAS/AM variant and December matrix candidate should be reconciled before final placement.
Colman of Lindisfarne,02-18; 02-20 SEC transfer,february,SEC transfer/date harmonization,Open,February 18 is the fixed AM candidate date used after removing Luther; SEC 2026 transfers Colman to Feb 20 because Feb 18 is Ash Wednesday.
